STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TLD,E,16,RAINTIP,20180509 1600,20180509 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1700,20180509 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1800,20180509 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 1900,20180509 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 2000,20180509 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 2100,20180509 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 2200,20180509 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180509 2300,20180509 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0000,20180510 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0100,20180510 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0200,20180510 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0300,20180510 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0400,20180510 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0500,20180510 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0600,20180510 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0700,20180510 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0800,20180510 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 0900,20180510 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1000,20180510 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1100,20180510 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1200,20180510 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1300,20180510 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1400,20180510 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1500,20180510 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1600,20180510 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1700,20180510 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1800,20180510 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 1900,20180510 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 2000,20180510 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 2100,20180510 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 2200,20180510 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180510 2300,20180510 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0000,20180511 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0100,20180511 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0200,20180511 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0300,20180511 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0400,20180511 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0500,20180511 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0600,20180511 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0700,20180511 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0800,20180511 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 0900,20180511 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1000,20180511 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1100,20180511 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1200,20180511 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1300,20180511 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1400,20180511 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1500,20180511 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1600,20180511 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1700,20180511 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1800,20180511 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 1900,20180511 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 2000,20180511 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 2100,20180511 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 2200,20180511 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180511 2300,20180511 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0000,20180512 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0100,20180512 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0200,20180512 0200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0300,20180512 0300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0400,20180512 0400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0500,20180512 0500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0600,20180512 0600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0700,20180512 0700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0800,20180512 0800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 0900,20180512 0900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1000,20180512 1000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1100,20180512 1100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1200,20180512 1200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1300,20180512 1300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1400,20180512 1400,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1500,20180512 1500,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1600,20180512 1600,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1700,20180512 1700,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1800,20180512 1800,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 1900,20180512 1900,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 2000,20180512 2000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 2100,20180512 2100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 2200,20180512 2200,31.22, ,INCHES
TLD,E,16,RAINTIP,20180512 2300,20180512 2300,31.22, ,INCHES
TLD,E,16,RAINTIP,20180513 0000,20180513 0000,31.22, ,INCHES
TLD,E,16,RAINTIP,20180513 0100,20180513 0100,31.22, ,INCHES
TLD,E,16,RAINTIP,20180513 0127,20180513 0127,31.23, ,INCHES
TLD,E,16,RAINTIP,20180513 0200,20180513 0200,31.23, ,INCHES
