"","x"
"993",7.83647727272727
"994",8.59180555555556
"995",9.08591549295775
"996",9.46395348837209
"997",9.52
"998",9.52
"999",9.84591836734694
"1000",10.7415662650602
"1001",10.98
"1002",10.98
"1003",10.98
"1004",10.98
"1005",10.98
"1006",10.98
"1007",10.98
"1008",10.98
"1009",11.1198305084746
"1010",11.35
"1011",11.37
"1012",11.4321428571429
"1013",11.8215151515152
"1014",12
"1015",12
"1016",12
"1017",12.077027027027
"1018",12.1977419354839
"1019",12.21
"1020",12.21
"1021",12.21
"1022",12.21
"1023",12.21
"1024",12.21
"1025",12.21
"1026",12.21
"1027",12.21
"1028",12.21
"1029",12.21
"1030",12.21
"1031",12.2686363636364
"1032",12.4848275862069
"1033",12.49
"1034",12.49
"1035",12.5926923076923
"1036",12.8635294117647
"1037",12.9
"1038",12.9
"1039",12.9
"1040",13.0408771929825
"1041",13.26
"1042",13.26
"1043",13.26
"1044",13.4592307692308
"1045",13.71
"1046",13.71
"1047",13.71
"1048",13.71
"1049",13.71
"1050",13.71
"1051",13.71
"1052",13.71
"1053",13.71
"1054",13.71
"1055",13.71
"1056",13.71
"1057",13.71
"1058",13.71
"1059",13.71
"1060",13.71
"1061",13.71
"1062",13.71
"1063",13.7168
"1064",13.72
"1065",13.72
"1066",13.72
"1067",13.72
"1068",13.72
"1069",13.72
"1070",13.72
"1071",13.72
"1072",13.72
"1073",13.72
"1074",13.72
"1075",13.72
"1076",13.72
"1077",13.72
"1078",13.72
"1079",13.7322222222222
"1080",13.7659259259259
"1081",13.7974074074074
"1082",13.9875409836066
"1083",14.19
"1084",14.19
"1085",14.19
"1086",14.19
"1087",14.19
"1088",14.1988
"1089",14.2
"1090",14.2
"1091",14.2
"1092",14.2
"1093",14.2
"1094",14.2
"1095",14.2
"1096",14.2
"1097",14.2
"1098",14.2
"1099",14.2
"1100",14.2
"1101",14.2393333333333
"1102",14.291724137931
"1103",14.3282142857143
"1104",14.388275862069
"1105",14.4
"1106",14.4
"1107",14.4
"1108",14.4
"1109",14.4
"1110",14.4
"1111",14.4
"1112",14.4
"1113",14.4
"1114",14.4
"1115",14.4
"1116",14.415
"1117",14.4292
"1118",14.43
"1119",14.43
"1120",14.43
"1121",14.4383333333333
"1122",14.44
"1123",14.44
"1124",14.44
"1125",14.44
"1126",14.44
"1127",14.44
"1128",14.44
"1129",14.44
"1130",14.44
"1131",14.4476923076923
"1132",14.5335294117647
"1133",14.56
"1134",14.56
"1135",14.56
"1136",14.56
"1137",14.56
"1138",14.5615384615385
"1139",14.6
"1140",14.618
"1141",14.62
"1142",14.628
"1143",14.6607142857143
"1144",14.6973076923077
"1145",14.7303571428571
"1146",14.7561538461538
"1147",14.76
"1148",0.569615384615385
"1149",0.0507142857142857
"1150",0.101034482758621
"1151",0.167741935483871
"1152",0.238275862068966
"1153",0.282758620689655
"1154",0.347
"1155",0.368888888888889
"1156",0.37
"1157",0.37
"1158",0.37
"1159",0.37
"1160",0.401724137931034
"1161",0.455333333333333
"1162",0.511785714285714
"1163",0.561
"1164",0.61037037037037
"1165",0.62
"1166",0.62
"1167",0.62
"1168",0.62
"1169",0.62
"1170",0.62
"1171",0.62
"1172",0.62
"1173",0.62
"1174",0.62
"1175",0.62
"1176",0.62
"1177",0.62
"1178",0.6276
"1179",0.6372
"1180",0.64
"1181",0.64
"1182",0.64
"1183",0.685652173913043
"1184",0.71
"1185",0.71
"1186",0.71
"1187",0.71
"1188",0.71
"1189",0.71
"1190",0.71
"1191",0.71
"1192",0.71
"1193",0.71
"1194",0.71
"1195",0.71
"1196",0.71
"1197",0.7176
"1198",0.7212
"1199",0.740384615384615
"1200",0.767307692307692
"1201",0.788148148148148
"1202",0.807894736842105
"1203",0.826538461538462
"1204",0.83
"1205",0.83
"1206",0.83
"1207",0.83
"1208",0.83
"1209",0.83
"1210",0.845384615384615
"1211",0.85
"1212",0.8576
"1213",0.86
"1214",0.86
"1215",0.86
"1216",0.86
"1217",0.86
"1218",0.86
"1219",0.86
"1220",0.86
"1221",0.86
"1222",0.86
"1223",0.86
"1224",0.86
"1225",0.877407407407407
"1226",0.922222222222222
"1227",0.946785714285714
"1228",1.05125
"1229",1.07
"1230",1.07
"1231",1.07
"1232",1.07
"1233",1.07
"1234",1.07
"1235",1.0772
"1236",1.108
"1237",1.16
"1238",1.16
"1239",1.16
"1240",1.16
"1241",1.16
"1242",1.16
"1243",1.16
"1244",1.16
"1245",1.166
"1246",1.17
"1247",1.17
"1248",1.17
"1249",1.17
"1250",1.17
"1251",1.17
"1252",1.17
"1253",1.17
"1254",1.17
"1255",1.17
"1256",1.17592592592593
"1257",1.2
"1258",1.2037037037037
"1259",1.58244186046512
"1260",2.29655555555556
"1261",3.1906
"1262",3.9184375
"1263",8.60909340659341
"1264",13.2681333333333
"1265",13.5
"1266",13.5136
"1267",13.52
"1268",13.52
"1269",13.5377777777778
"1270",13.5737037037037
"1271",13.8960674157303
"1272",14.3453571428571
"1273",14.35
"1274",14.5918333333333
"1275",14.72
"1276",14.72
"1277",14.72
"1278",15.0102105263158
"1279",15.844
"1280",16.0969230769231
"1281",16.1
"1282",16.1
"1283",16.1
"1284",16.1
"1285",16.1
"1286",16.1
"1287",16.1
"1288",16.1
"1289",16.146
"1290",16.2384
"1291",16.24
"1292",16.24
"1293",16.24
"1294",16.24
"1295",16.24
"1296",16.24
"1297",16.24
"1298",16.24
"1299",16.24
"1300",16.24
"1301",16.24
"1302",16.24
"1303",16.24
"1304",16.24
"1305",16.24
"1306",16.24
"1307",16.24
"1308",16.264
"1309",16.3184
"1310",16.32
"1311",16.32
"1312",16.9089436619718
"1313",19.9628611898017
"1314",22.3190384615385
"1315",23.0146808510638
"1316",24.0265217391304
"1317",24.09
"1318",24.09
"1319",24.0912
"1320",24.1066666666667
"1321",24.2312195121951
"1322",24.8727184466019
"1323",26.2083695652174
"1324",27.2107272727273
"1325",27.7872727272727
"1326",28.4637142857143
